activity_id,name,operator,region,latitude,longitude,installation_type,status,people_on_board,planned_start,planned_end,actual_start,actual_end,dfu2,dfu5,dfu7
A001, Activity 01,Equinor ,Troll ,60.8813,2.64,Fixed,Active,40,2026-01-01,2026-12-31,,,true,true,false
A002, Activity 02,NorthSea Energy ,Oseberg ,60.2075,2.3571,Mobile,Planned,47,2026-01-01,2026-12-31,,,false,false,true
A003, Activity 03,Nordic Offshore ,Sleipner ,58.7074,2.1827,Floating,Active,54,2026-01-01,2026-12-31,,,true,false,false
A004, Activity 04,Coastal Operations ,Halten ,65.8098,6.5391,Fixed,Completed,61,2026-01-01,2026-12-31,,,false,true,true
A005, Activity 05,Equinor ,Barents ,71.0985,21.2477,Mobile,Active,68,2026-01-01,2026-12-31,,,true,false,false
A006, Activity 06,NorthSea Energy ,Troll ,60.3342,3.4086,Floating,Planned,75,2026-01-01,2026-12-31,,,false,false,true
A007, Activity 07,Nordic Offshore ,Oseberg ,59.8845,2.3181,Fixed,Active,82,2026-01-01,2026-12-31,,,true,true,false
A008, Activity 08,Coastal Operations ,Sleipner ,58.5948,1.9719,Mobile,Completed,89,2026-01-01,2026-12-31,,,false,false,true
A009, Activity 09,Equinor ,Halten ,64.9366,7.3428,Floating,Active,96,2026-01-01,2026-12-31,,,true,false,false
A010, Activity 10,NorthSea Energy ,Barents ,71.6023,21.2104,Fixed,Planned,103,2026-01-01,2026-12-31,,,false,true,true
A011, Activity 11,Nordic Offshore ,Troll ,61.0976,3.717,Mobile,Active,110,2026-01-01,2026-12-31,,,true,false,false
A012, Activity 12,Coastal Operations ,Oseberg ,60.2923,2.2488,Floating,Completed,117,2026-01-01,2026-12-31,,,false,false,true
A013, Activity 13,Equinor ,Sleipner ,58.9944,1.6386,Fixed,Active,124,2026-01-01,2026-12-31,,,true,true,false
A014, Activity 14,NorthSea Energy ,Halten ,64.7706,6.5547,Mobile,Planned,131,2026-01-01,2026-12-31,,,false,false,true
A015, Activity 15,Nordic Offshore ,Barents ,71.6517,22.166,Floating,Active,138,2026-01-01,2026-12-31,,,true,false,false
A016, Activity 16,Coastal Operations ,Troll ,61.0993,3.7676,Fixed,Completed,145,2026-01-01,2026-12-31,,,false,true,true
A017, Activity 17,Equinor ,Oseberg ,60.5471,3.557,Mobile,Active,152,2026-01-01,2026-12-31,,,true,false,false
A018, Activity 18,NorthSea Energy ,Sleipner ,58.2421,1.9833,Floating,Planned,159,2026-01-01,2026-12-31,,,false,false,true
A019, Activity 19,Nordic Offshore ,Halten ,65.7282,7.3896,Fixed,Active,166,2026-01-01,2026-12-31,,,true,true,false
A020, Activity 20,Coastal Operations ,Barents ,71.6702,22.1238,Mobile,Completed,43,2026-01-01,2026-12-31,,,false,false,true
A021, Activity 21,Equinor ,Troll ,60.9659,2.6733,Floating,Active,50,2026-01-01,2026-12-31,,,true,false,false
A022, Activity 22,NorthSea Energy ,Oseberg ,60.1463,2.463,Fixed,Planned,57,2026-01-01,2026-12-31,,,false,true,true
A023, Activity 23,Nordic Offshore ,Sleipner ,57.8537,1.4725,Mobile,Active,64,2026-01-01,2026-12-31,,,true,false,false
A024, Activity 24,Coastal Operations ,Halten ,64.7813,6.8448,Floating,Completed,71,2026-01-01,2026-12-31,,,false,false,true
A025, Activity 25,Equinor ,Barents ,71.3764,21.7837,Fixed,Active,78,2026-01-01,2026-12-31,,,true,true,false
